method,vs,seed,metric,mean_difference,ci_95_low,ci_95_high,p_bootstrap_two_sided,n_groups,n_subjects,groups_a_better,groups_b_better
clueground_canonical,medgrounder,13,coverage_iou,-0.01875302368143901,-0.04429729170711086,0.0058913399071086996,0.137,220,170,119,98
clueground_canonical,medgrounder,13,exact_union_iou,-0.015969763113980056,-0.04029820659919233,0.008813627543739723,0.211,220,170,118,99
clueground_canonical,medgrounder,13,set_f1_optimal_0_3,-0.05136363636363637,-0.10383555641058528,0.0010130970724190863,0.057,220,170,16,30
clueground_canonical,medgrounder,13,set_f1_optimal_0_5,-0.015151515151515152,-0.06634328358208957,0.03415340280163361,0.551,220,170,26,29
clueground_canonical,medgrounder,42,coverage_iou,0.0021399017921756216,-0.02151623191980661,0.024862766518563558,0.863,220,170,115,103
clueground_canonical,medgrounder,42,exact_union_iou,0.0062265213233587795,-0.017808087954826288,0.027962610513860925,0.62,220,170,116,102
clueground_canonical,medgrounder,42,set_f1_optimal_0_3,0.00727272727272727,-0.0465496782413406,0.05965122807017542,0.831,220,170,26,26
clueground_canonical,medgrounder,42,set_f1_optimal_0_5,-0.0037878787878787906,-0.05958799956082564,0.04795657042119306,0.905,220,170,32,32
clueground_canonical,medgrounder,2026,coverage_iou,-0.011023984997548378,-0.041207850530788334,0.017505308524303053,0.512,220,170,113,106
clueground_canonical,medgrounder,2026,exact_union_iou,-0.008511973913631529,-0.037942392748731124,0.019508970776865194,0.599,220,170,114,105
clueground_canonical,medgrounder,2026,set_f1_optimal_0_3,-0.056363636363636366,-0.1116910085558319,0.003555262413068057,0.059,220,170,19,37
clueground_canonical,medgrounder,2026,set_f1_optimal_0_5,-0.002272727272727277,-0.06528897849462366,0.06599451328754849,0.941,220,170,34,35
clueground_hybrid_base,medgrounder,13,coverage_iou,-0.01875302368143901,-0.04429729170711086,0.0058913399071086996,0.137,220,170,119,98
clueground_hybrid_base,medgrounder,13,exact_union_iou,-0.015969763113980056,-0.04029820659919233,0.008813627543739723,0.211,220,170,118,99
clueground_hybrid_base,medgrounder,13,set_f1_optimal_0_3,-0.05136363636363637,-0.10383555641058528,0.0010130970724190863,0.057,220,170,16,30
clueground_hybrid_base,medgrounder,13,set_f1_optimal_0_5,-0.015151515151515152,-0.06634328358208957,0.03415340280163361,0.551,220,170,26,29
clueground_hybrid_base,medgrounder,42,coverage_iou,-0.008164678592098058,-0.032434330561076224,0.014734852811018573,0.486,220,170,109,109
clueground_hybrid_base,medgrounder,42,exact_union_iou,-0.003996625418580895,-0.028790037054020393,0.019154762020839874,0.701,220,170,111,107
clueground_hybrid_base,medgrounder,42,set_f1_optimal_0_3,-0.006363636363636367,-0.06917406051581146,0.053826376367351776,0.771,220,170,26,30
clueground_hybrid_base,medgrounder,42,set_f1_optimal_0_5,-0.0022727272727272726,-0.056087258529419926,0.047926097948145084,0.937,220,170,32,31
clueground_hybrid_base,medgrounder,2026,coverage_iou,-0.011023984997548378,-0.041207850530788334,0.017505308524303053,0.512,220,170,113,106
clueground_hybrid_base,medgrounder,2026,exact_union_iou,-0.008511973913631529,-0.037942392748731124,0.019508970776865194,0.599,220,170,114,105
clueground_hybrid_base,medgrounder,2026,set_f1_optimal_0_3,-0.056363636363636366,-0.1116910085558319,0.003555262413068057,0.059,220,170,19,37
clueground_hybrid_base,medgrounder,2026,set_f1_optimal_0_5,-0.002272727272727277,-0.06528897849462366,0.06599451328754849,0.941,220,170,34,35
clueground_gate_always,medgrounder,13,coverage_iou,0.0015631819124873846,-0.021188204299067162,0.024576236035154488,0.879,220,170,124,93
clueground_gate_always,medgrounder,13,exact_union_iou,0.003586050413966207,-0.019162241843345987,0.02757862098549999,0.764,220,170,123,94
clueground_gate_always,medgrounder,13,set_f1_optimal_0_3,-0.015000000000000001,-0.06624458874458876,0.03613565891472862,0.587,220,170,22,28
clueground_gate_always,medgrounder,13,set_f1_optimal_0_5,-0.015151515151515152,-0.0691293517121379,0.03881468797564687,0.595,220,170,27,29
