method,vs,seed,metric,mean_difference,ci_95_low,ci_95_high,p_bootstrap_two_sided
clueground_reranker,medrpg,13,mean_iou_row,-0.001787660445850401,-0.03490978828462121,0.03227064063733764,0.881
clueground_reranker,medrpg,13,hit_0_3,0.012269938650306749,-0.05234880280721068,0.08,0.778
clueground_reranker,medrpg,13,hit_0_5,-0.03067484662576687,-0.10977293131827023,0.049713027753754094,0.499
clueground_reranker,medrpg,42,mean_iou_row,-0.032787421378715,-0.06640779039929386,0.001549232405211652,0.058
clueground_reranker,medrpg,42,hit_0_3,-0.018404907975460124,-0.08242814877430261,0.04763546798029548,0.656
clueground_reranker,medrpg,42,hit_0_5,-0.06134969325153374,-0.1337579617834395,0.012666447476574014,0.142
clueground_reranker,medrpg,2026,mean_iou_row,-0.013279726707747,-0.04028906384055115,0.013907210486180977,0.355
clueground_reranker,medrpg,2026,hit_0_3,-0.018404907975460124,-0.07142857142857142,0.03067484662576687,0.573
clueground_reranker,medrpg,2026,hit_0_5,-0.03067484662576687,-0.10062893081761007,0.0397417218543046,0.45
clueground_reranker,transvg,13,mean_iou_row,-0.001349690771579078,-0.030309038873981536,0.02959662865853301,0.92
clueground_reranker,transvg,13,hit_0_3,0.006134969325153374,-0.05357944824636441,0.06666666666666667,0.895
clueground_reranker,transvg,13,hit_0_5,-0.03680981595092025,-0.11309804582210242,0.03773584905660377,0.392
clueground_reranker,transvg,42,mean_iou_row,-0.04051510203916384,-0.06871654073811068,-0.01124561117949537,0.003
clueground_reranker,transvg,42,hit_0_3,-0.06748466257668712,-0.12779970760233916,-0.006535947712418301,0.033
clueground_reranker,transvg,42,hit_0_5,-0.08588957055214724,-0.15117585576169323,-0.01397193410616237,0.019
clueground_reranker,transvg,2026,mean_iou_row,0.005362377444961861,-0.02463824222071644,0.03674080270629359,0.683
clueground_reranker,transvg,2026,hit_0_3,-0.018404907975460124,-0.07648190045248869,0.037505896226415064,0.602
clueground_reranker,transvg,2026,hit_0_5,-0.012269938650306749,-0.07648190045248869,0.05883320433436527,0.837
clueground_reranker,clueground_base,13,mean_iou_row,0.006294321781770944,-0.01368642215196207,0.02636690663300197,0.529
clueground_reranker,clueground_base,13,hit_0_3,0.03067484662576687,-0.012196992368696693,0.07644536991670743,0.221
clueground_reranker,clueground_base,13,hit_0_5,-0.018404907975460124,-0.06291311140487922,0.025003930817610043,0.508
clueground_reranker,clueground_base,42,mean_iou_row,-0.018529530485036055,-0.038905105705895345,0.004080573687593354,0.096
clueground_reranker,clueground_base,42,hit_0_3,-0.006134969325153374,-0.053691275167785234,0.037434826203208545,0.919
clueground_reranker,clueground_base,42,hit_0_5,-0.03067484662576687,-0.07454580745341614,0.013157894736842105,0.233
clueground_reranker,clueground_base,2026,mean_iou_row,0.027919431015772173,0.00507792326529353,0.050573155317935416,0.025
clueground_reranker,clueground_base,2026,hit_0_3,0.05521472392638037,0.006060606060606061,0.10812976437976426,0.045
clueground_reranker,clueground_base,2026,hit_0_5,-0.018404907975460124,-0.06666666666666667,0.024844720496894408,0.526
clueground_base,medrpg,13,mean_iou_row,-0.008081982227621347,-0.04213927880199937,0.026113537454555226,0.629
clueground_base,medrpg,13,hit_0_3,-0.018404907975460124,-0.08553539715854053,0.05056357559379888,0.626
clueground_base,medrpg,13,hit_0_5,-0.012269938650306749,-0.08974550898203593,0.0650887573964497,0.788
clueground_base,medrpg,42,mean_iou_row,-0.014257890893678939,-0.050989180719016675,0.01908608514818928,0.455
clueground_base,medrpg,42,hit_0_3,-0.012269938650306749,-0.07832171382157845,0.05096357994447162,0.806
clueground_base,medrpg,42,hit_0_5,-0.03067484662576687,-0.1005586592178771,0.04199604743082983,0.452
clueground_base,medrpg,2026,mean_iou_row,-0.04119915772351916,-0.07350434285501417,-0.008414604683328122,0.011
clueground_base,medrpg,2026,hit_0_3,-0.0736196319018405,-0.14287946428571427,-0.006249029503105596,0.045
clueground_base,medrpg,2026,hit_0_5,-0.012269938650306749,-0.08861133997453374,0.06470588235294118,0.856
clueground_base,transvg,13,mean_iou_row,-0.0076440125533500216,-0.03731389201661055,0.023498717932936376,0.61
clueground_base,transvg,13,hit_0_3,-0.024539877300613498,-0.08001863354037267,0.033112582781456956,0.463
clueground_base,transvg,13,hit_0_5,-0.018404907975460124,-0.09146441096763909,0.05406324692038973,0.659
clueground_base,transvg,42,mean_iou_row,-0.02198557155412779,-0.05205491660582515,0.007880546502800843,0.155
clueground_base,transvg,42,hit_0_3,-0.06134969325153374,-0.1202303561334087,0.0,0.063
clueground_base,transvg,42,hit_0_5,-0.05521472392638037,-0.12271631742490638,0.013515811730097433,0.148
clueground_base,transvg,2026,mean_iou_row,-0.02255705357081031,-0.05769170585349931,0.015150532988582446,0.244
clueground_base,transvg,2026,hit_0_3,-0.0736196319018405,-0.14367816091954022,-0.006209274854246857,0.043
clueground_base,transvg,2026,hit_0_5,0.006134969325153374,-0.0658682634730539,0.08536986521181,0.872
