method,group,name,n,coverage_iou,exact_union_iou,set_f1_optimal_0_3,set_f1_optimal_0_5
clueground_reranker,per_finding,Atelectasis,45,0.2581109221321551,0.26016122946940945,0.41234567901234565,0.17037037037037037
clueground_reranker,per_finding,Cardiomegaly,99,0.7322174923579482,0.7330063576204701,0.98989898989899,0.9528619528619529
clueground_reranker,per_finding,Consolidation,4,0.18269319676477322,0.18269319676477322,0.25,0.08333333333333333
clueground_reranker,per_finding,Lung Opacity,85,0.3082500508951441,0.3083310307301008,0.5193464052287581,0.22666666666666666
clueground_reranker,per_finding,Pleural Effusion,41,0.42152191589655846,0.4277989317623901,0.7357723577235772,0.4661246612466124
clueground_reranker,per_finding,Pneumothorax,4,0.4488273426629603,0.48169575852040886,0.5833333333333334,0.5833333333333334
clueground_reranker,per_reference_count,multi (2+ boxes),43,0.31637793300590866,0.3404332097923694,0.5317829457364341,0.2904392764857881
clueground_reranker,per_reference_count,single (1 box),235,0.4957872644922845,0.4937944950848314,0.7290780141843971,0.5555555555555557
hybrid_no_reranker,per_finding,Atelectasis,45,0.1943771310451128,0.19416432791841207,0.291358024691358,0.1308641975308642
hybrid_no_reranker,per_finding,Cardiomegaly,99,0.7304271177349398,0.7312194784879081,0.98989898989899,0.9494949494949495
hybrid_no_reranker,per_finding,Consolidation,4,0.14251490182969848,0.14251490182969848,0.25,0.0
hybrid_no_reranker,per_finding,Lung Opacity,85,0.2889624893444373,0.285992388267532,0.44758169934640524,0.2011764705882353
hybrid_no_reranker,per_finding,Pleural Effusion,41,0.29368221541787126,0.29605146822347744,0.5379403794037939,0.2886178861788618
hybrid_no_reranker,per_finding,Pneumothorax,4,0.32148576243738725,0.3543541782948357,0.4166666666666667,0.3333333333333333
hybrid_no_reranker,per_reference_count,multi (2+ boxes),43,0.34202187867555106,0.3534588145441715,0.563049095607235,0.2852713178294573
hybrid_no_reranker,per_reference_count,single (1 box),235,0.4460046802264624,0.4441035473260979,0.6368794326241135,0.5016548463356975
rad_dino_only,per_finding,Atelectasis,45,0.24534128568343302,0.24801083233431034,0.3703703703703704,0.11851851851851852
rad_dino_only,per_finding,Cardiomegaly,99,0.5943824451697423,0.5956371088853952,0.946127946127946,0.7676767676767677
rad_dino_only,per_finding,Consolidation,4,0.2911957317557434,0.2911957317557434,0.5,0.25
rad_dino_only,per_finding,Lung Opacity,85,0.2585023297908342,0.2972098609451625,0.392156862745098,0.13202614379084968
rad_dino_only,per_finding,Pleural Effusion,41,0.29635418032032473,0.3411273322429527,0.40379403794037944,0.22764227642276424
rad_dino_only,per_finding,Pneumothorax,4,0.4884987344362935,0.5187906601877884,0.75,0.5
rad_dino_only,per_reference_count,multi (2+ boxes),43,0.17795243341069522,0.30565820985466635,0.16795865633074936,0.03617571059431524
rad_dino_only,per_reference_count,single (1 box),235,0.4232947343873253,0.4232947343873253,0.6723404255319149,0.43971631205673756
