method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_reranker,2026,coverage_iou,0.46462834771873424,0.43313245739252487,0.4964965525072862,214,278,2000,subject_id
clueground_reranker,2026,exact_union_iou,0.4662720388551555,0.4352657926639311,0.4983273670778232,214,278,2000,subject_id
clueground_reranker,2026,set_f1_optimal_0_3,0.6847721822541967,0.6374238543597749,0.7339483964284087,214,278,2000,subject_id
clueground_reranker,2026,set_f1_optimal_0_5,0.5065947242206235,0.4496362143734489,0.5636390800434624,214,278,2000,subject_id
hybrid_no_reranker,2026,coverage_iou,0.4182510656433282,0.38264599347602013,0.4554222820154984,214,278,2000,subject_id
hybrid_no_reranker,2026,exact_union_iou,0.4180749926773916,0.3824143167234681,0.4553003417194686,214,278,2000,subject_id
hybrid_no_reranker,2026,set_f1_optimal_0_3,0.602757793764988,0.5504528109594237,0.6574853191741379,214,278,2000,subject_id
hybrid_no_reranker,2026,set_f1_optimal_0_5,0.4564748201438848,0.3991399622792379,0.5179518072289157,214,278,2000,subject_id
rad_dino_only,2026,coverage_iou,0.3921099872767028,0.3621960273839127,0.42354489099707143,214,278,2000,subject_id
rad_dino_only,2026,exact_union_iou,0.41211406477859464,0.38330606832104563,0.4430480526645047,214,278,2000,subject_id
rad_dino_only,2026,set_f1_optimal_0_3,0.6037170263788968,0.5466637931034484,0.6624067164179104,214,278,2000,subject_id
rad_dino_only,2026,set_f1_optimal_0_5,0.40047961630695444,0.3426557239057239,0.4642890583199572,214,278,2000,subject_id
