method,metric,mean,std,per_seed
clueground_reranker,coverage_iou,0.46803690026957173,0.0031138855909393043,"[0.46874990937384353, 0.4707324437161375, 0.46462834771873424]"
clueground_reranker,exact_union_iou,0.470073145201465,0.003927289918100183,"[0.46983190029617117, 0.4741154964530682, 0.4662720388551555]"
clueground_reranker,set_f1_optimal_0_3,0.6985611510791366,0.012561347026233174,"[0.701558752997602, 0.7093525179856115, 0.6847721822541967]"
clueground_reranker,set_f1_optimal_0_5,0.5145483613109512,0.00694650723579991,"[0.5176258992805756, 0.5194244604316546, 0.5065947242206235]"
hybrid_no_reranker,coverage_iou,0.4299210094829761,0.01850329715059462,"[0.42025658420394735, 0.45125537860165266, 0.4182510656433282]"
hybrid_no_reranker,exact_union_iou,0.43008295916198697,0.018426434525851975,"[0.42087543212377215, 0.45129845268479707, 0.4180749926773916]"
hybrid_no_reranker,set_f1_optimal_0_3,0.6254596322941647,0.030548568847795873,"[0.6134292565947242, 0.6601918465227817, 0.602757793764988]"
hybrid_no_reranker,set_f1_optimal_0_5,0.46818545163868897,0.02753524307828857,"[0.44844124700239807, 0.4996402877697841, 0.4564748201438848]"
rad_dino_only,coverage_iou,0.3853461050995732,0.01611714020914325,"[0.36694918375988533, 0.39697914426213127, 0.3921099872767028]"
rad_dino_only,exact_union_iou,0.40509915685169817,0.015206990724450503,"[0.38765090423909077, 0.415532501537409, 0.4121140647785947]"
rad_dino_only,set_f1_optimal_0_3,0.5943245403677059,0.025606843687489087,"[0.5653477218225419, 0.6139088729016786, 0.6037170263788968]"
rad_dino_only,set_f1_optimal_0_5,0.37729816147082335,0.03809353335713462,"[0.33333333333333337, 0.3980815347721823, 0.40047961630695444]"
