method,group,name,n,coverage_iou,exact_union_iou,set_f1_optimal_0_3,set_f1_optimal_0_5
clueground_reranker,per_finding,Atelectasis,46,0.2524994001522665,0.2545051355908849,0.4033816425120773,0.16666666666666666
clueground_reranker,per_finding,Cardiomegaly,99,0.7322174604684378,0.7330063257309597,0.98989898989899,0.9528619528619529
clueground_reranker,per_finding,Consolidation,4,0.18269319676477322,0.18269319676477322,0.25,0.08333333333333333
clueground_reranker,per_finding,Pleural Effusion,41,0.42152191589655846,0.4277989317623901,0.7357723577235772,0.4661246612466124
clueground_reranker,per_finding,Pneumothorax,4,0.4488273426629603,0.48169575852040886,0.5833333333333334,0.5833333333333334
clueground_reranker,per_reference_count,multi (2+ boxes),19,0.33626493675865715,0.3656961370268152,0.5643274853801169,0.33918128654970753
clueground_reranker,per_reference_count,single (1 box),175,0.5572797023110568,0.5572797023110568,0.7961904761904762,0.6704761904761906
hybrid_no_reranker,per_finding,Atelectasis,46,0.19015150533014544,0.189943328358373,0.28502415458937197,0.12801932367149757
hybrid_no_reranker,per_finding,Cardiomegaly,99,0.7304270823083402,0.7312194430613085,0.98989898989899,0.9494949494949495
hybrid_no_reranker,per_finding,Consolidation,4,0.14251490182969848,0.14251490182969848,0.25,0.0
hybrid_no_reranker,per_finding,Pleural Effusion,41,0.29368221541787126,0.29605146822347744,0.5379403794037939,0.2886178861788618
hybrid_no_reranker,per_finding,Pneumothorax,4,0.32148576243738725,0.3543541782948357,0.4166666666666667,0.3333333333333333
hybrid_no_reranker,per_reference_count,multi (2+ boxes),19,0.3516455273493495,0.37279020495112863,0.5935672514619883,0.34210526315789475
hybrid_no_reranker,per_reference_count,single (1 box),175,0.5044283363615761,0.5038325176636799,0.7117460317460317,0.6088888888888889
rad_dino_only,per_finding,Atelectasis,46,0.25234167735927193,0.2549531903873041,0.38405797101449274,0.13043478260869565
rad_dino_only,per_finding,Cardiomegaly,99,0.5943822275009981,0.595636891216651,0.946127946127946,0.7676767676767677
rad_dino_only,per_finding,Consolidation,4,0.2911957317557434,0.2911957317557434,0.5,0.25
rad_dino_only,per_finding,Pleural Effusion,41,0.2963541621306703,0.3411273140532982,0.40379403794037944,0.22764227642276424
rad_dino_only,per_finding,Pneumothorax,4,0.4884987344362935,0.5187906601877884,0.75,0.5
rad_dino_only,per_reference_count,multi (2+ boxes),19,0.14987672835064594,0.2657297935597433,0.08187134502923976,0.0
rad_dino_only,per_reference_count,single (1 box),175,0.47356113345479245,0.47356113345479245,0.7504761904761906,0.5390476190476191
