method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_reranker,42,coverage_iou,0.530017307413139,0.4924162615834944,0.5698176871106689,161,194,2000,subject_id
clueground_reranker,42,exact_union_iou,0.5335763383503436,0.4961916130078666,0.5726374069429839,161,194,2000,subject_id
clueground_reranker,42,set_f1_optimal_0_3,0.7663230240549828,0.70622787149849,0.8241800887021474,161,194,2000,subject_id
clueground_reranker,42,set_f1_optimal_0_5,0.6254295532646048,0.5613068433569343,0.6934433786117722,161,194,2000,subject_id
hybrid_no_reranker,42,coverage_iou,0.5008668950910712,0.46010963996933535,0.5447045863363275,161,194,2000,subject_id
hybrid_no_reranker,42,exact_union_iou,0.5021305807499528,0.4612586822955568,0.5456370045427004,161,194,2000,subject_id
hybrid_no_reranker,42,set_f1_optimal_0_3,0.7130584192439862,0.6496715794214792,0.777482269503546,161,194,2000,subject_id
hybrid_no_reranker,42,set_f1_optimal_0_5,0.5893470790378007,0.52515644259031,0.6595214478753376,161,194,2000,subject_id
rad_dino_only,42,coverage_iou,0.45247608774237247,0.4189768785510944,0.4873234915810813,161,194,2000,subject_id
rad_dino_only,42,exact_union_iou,0.4629819091822072,0.43038095820366057,0.4974588473358663,161,194,2000,subject_id
rad_dino_only,42,set_f1_optimal_0_3,0.711340206185567,0.6412660235114855,0.7777777777777778,161,194,2000,subject_id
rad_dino_only,42,set_f1_optimal_0_5,0.4948453608247423,0.41752340868249316,0.5706993268511592,161,194,2000,subject_id
