method,metric,mean,std,per_seed
clueground_reranker,coverage_iou,0.5356339263033476,0.005632713850809771,"[0.5412825983145195, 0.530017307413139, 0.5356018731823844]"
clueground_reranker,exact_union_iou,0.5385163634430126,0.0053877228911994954,"[0.5442612304922533, 0.5335763383503435, 0.537711521486441]"
clueground_reranker,set_f1_optimal_0_3,0.7734822451317296,0.011664038862781475,"[0.7869415807560138, 0.7663230240549828, 0.7671821305841924]"
clueground_reranker,set_f1_optimal_0_5,0.6380297823596793,0.0225723326448323,"[0.6640893470790379, 0.6254295532646048, 0.6245704467353952]"
hybrid_no_reranker,coverage_iou,0.4894650715614095,0.013913583717975072,"[0.49356653843780346, 0.5008668950910712, 0.4739617811553538]"
hybrid_no_reranker,exact_union_iou,0.49099847672791447,0.014514424104438253,"[0.49628257227881284, 0.5021305807499528, 0.47458227715497764]"
hybrid_no_reranker,set_f1_optimal_0_3,0.7001718213058418,0.0381795292840017,"[0.7302405498281787, 0.7130584192439862, 0.6572164948453607]"
hybrid_no_reranker,set_f1_optimal_0_5,0.5827605956471936,0.016886051532423334,"[0.595360824742268, 0.5893470790378007, 0.563573883161512]"
rad_dino_only,coverage_iou,0.44186008347036565,0.016695876503464345,"[0.42261552393335816, 0.45247608774237247, 0.45048863873536643]"
rad_dino_only,exact_union_iou,0.4532065176918752,0.016122295632158258,"[0.43459804546143815, 0.4629819091822072, 0.46203959843198034]"
rad_dino_only,set_f1_optimal_0_3,0.6849942726231387,0.030752333925907913,"[0.6512027491408935, 0.711340206185567, 0.6924398625429554]"
rad_dino_only,set_f1_optimal_0_5,0.4862542955326461,0.03936920700133886,"[0.44329896907216493, 0.4948453608247423, 0.520618556701031]"
