method,finding,coverage_iou_mean,coverage_iou_std,exact_union_iou_mean,exact_union_iou_std,set_f1_optimal_0_5_mean,set_f1_optimal_0_5_std,n
ClueGround,Atelectasis,0.3614794936167293,0.03623880717673172,0.3609779677595814,0.03659343258030182,0.3684210526315789,0.07596714068284546,19
ClueGround,Cardiomegaly,0.7981287266011807,0.007633555980227145,0.7981287266011807,0.007633555980227145,1.0,0.0,61
ClueGround,Consolidation,0.45703566475204244,0.0257026550879969,0.4845498516347157,0.027310804393131816,0.503921568627451,0.06428861298335294,17
ClueGround,Edema,0.41580564957584926,0.01273378740821244,0.42286884268550656,0.00785061492079363,0.46296296296296297,0.048776174781725676,12
ClueGround,Lung Opacity,0.39846571494588306,0.056470035668221015,0.4019245826877578,0.05678529844656305,0.39197530864197533,0.07709874072096785,18
ClueGround,Pleural Effusion,0.54619027200437,0.02755454518886402,0.5479297724926672,0.025722680177346195,0.7314814814814815,0.06415002990995845,18
ClueGround,Pneumonia,0.5332683411601544,0.02491656586669147,0.5111050609728484,0.022550737070790448,0.6722222222222222,0.11844706323975898,24
ClueGround,Pneumothorax,0.4139128464365868,0.03424228440866275,0.4179240407721361,0.0348024761185586,0.37145969498910675,0.05392982045527913,51
MedGrounder,Atelectasis,0.4599055443451517,0.004515712076634112,0.4562726722110131,0.004759469972187772,0.46491228070175444,0.06077371254627639,19
MedGrounder,Cardiomegaly,0.7652426143245746,0.004935103591422397,0.7652426143245746,0.004935103591422397,0.9945355191256832,0.00946475851130535,61
MedGrounder,Consolidation,0.4180986375455342,0.009870896222721715,0.4300812122560118,0.013086693500847365,0.32745098039215687,0.044927212695645466,17
MedGrounder,Edema,0.45106071087669575,0.03040636281919518,0.4554344676588327,0.026456032745148978,0.5138888888888888,0.024056261216234394,12
MedGrounder,Lung Opacity,0.3813528387297526,0.0180299962705777,0.3813690696848446,0.018212120826235457,0.26851851851851855,0.08486251286955261,18
MedGrounder,Pleural Effusion,0.47986959593859196,0.015048942188557835,0.46951155836452757,0.013731121978146715,0.5154320987654321,0.05099602358598236,18
MedGrounder,Pneumonia,0.48288562561926995,0.017390100925454573,0.45679817125961925,0.013986273185483518,0.5833333333333334,0.06696979695133996,24
MedGrounder,Pneumothorax,0.4387692461633441,0.005635067362467013,0.43571770059991094,0.007458506878571013,0.47385620915032683,0.00980392156862745,51
ClueGround,All,0.5419319996286317,0.003363762098819143,0.543337423800433,0.005017519463237884,0.6246464646464647,0.01385873678393536,220
MedGrounder,All,0.5336677299017026,0.0035710322732857495,0.5301190209626433,0.004414099360982138,0.6068686868686869,0.01465734531407222,220
